objectid,title,alternatetitle,category,externalurl,institution,access,sourcelist,tags,description,sau,lastmodified
1012,Policy Commons,,Subject Guides and Bibliographies,https://policycommons.net/,Policy Commons,subscription,Princeton China Studies Research Guide,"Secondary sources,International relations,Contemporary (post-1978)","Policy Commons is a discovery platform for the research output of international organizations, think tanks, intergovernmental organizations (IGOs), and non-governmental organizations (NGOs) worldwide. The platform aggregates policy research, reports, and working papers on topics including economics, international relations, governance, and public policy. For China studies researchers, it is useful for locating policy documents and think-tank analyses from international bodies and NGOs concerning China and East Asia.",6,5/18/2026 11:16pm
1013,Quanguo baokan suoyin,全国报刊索引,Academic Journals and Articles (Late Qing and Republican),https://www.cnbksy.com/,Shanghai Library,subscription,Princeton China Studies Research Guide,"Late Imperial (1368–1912),Republican era (1912–1949),Contemporary (post-1978),Full-text,Newspapers and periodicals","The Quan guo bao kan suo yin 全国报刊索引 (National Index to Chinese Newspapers & Periodicals) compiled by Shanghai Library is a collection of databases giving access to a diverse array of sources. The platform has a strong focus on the period from the late Qing Dynasty to the Republic. It also indexes articles published in Chinese periodicals from 1833 to current. Some of the resources are categorized index-only (in Chinese, pian ming shu ju ku 篇名数据库), some have the full-images of the indexed articles; the content itself is not text searchable (confusingly, and wrongly, this database is called quan wen shu ju ku, 全文数据库 in Chinese) and other parts of the resources on the platform are actually full-text searchable (全文搜索版). Most of the journal and newspaper publications from the late Qing and Republican periods are full-images of the indexed articles; lately the platform also has added Republican e-books which are full-text searchable. Post 1949 the database includes indexes only, and in most cases it would be better to search the China Academic Journals database instead. The three kinds of databases are integrated on one and the same platform. Downloadable articles show a pdf icon. For most flexible search, click on the ""search center"" icon (进入检索中心). You can then specify which database(s) to search, etc. The full-image databases include the Late Qing and part of the Republican Periodical databases (Wan Qing qi kan quan wen shu ju ku 晚清期刊全文数据库, 1833–1911, and Minguo shi qi qi kan quan wen shu ju ku 民国时期期刊全文数据库, 1911–1949). The Late Qing database includes 625 journals. The Republican full-image database currently includes some 22,000 journals. For most of the Late Qing and the Republican journals full-text searching is not possible. The database also includes a large number of Chinese and English language newspapers that are mostly indexed on the article title level. A small selection of newspapers is full-text searchable. One important feature of the database is that it indexes images (mostly news photography) and advertisements.",9,5/18/2026 11:16pm
1014,Renda funü yanjiu,人大妇女研究,Academic Journals and Articles (Contemporary),http://www.wsic.ac.cn/,Women's Studies Institute of China (All-China Women's Federation),subscription,Princeton China Studies Research Guide,"Gender,Secondary sources","Renda funü yanjiu (人大复印报刊资料·妇女研究) was a retrospective compilation of selected journal articles on women's studies in China, published as part of the Renmin University Copies of Chinese Periodicals (人大复印报刊资料) series, covering gender, women's rights, and women's history topics published between 1995 and 2001. The linked resource, Women's Studies Institute of China (WSIC, wsic.ac.cn), is operated by the All-China Women's Federation and provides online access to the journal 妇女研究论丛 (Collection of Women's Studies Research) along with related indexing resources for current women's studies scholarship in China.",5,5/18/2026 11:16pm
1015,Sinica SinoWeb,經典人文學刊庫,Academic Journals and Articles (Contemporary),https://p.udpweb.com/,Academia Sinica,subscription,Princeton China Studies Research Guide,"Taiwan,Secondary sources,Newspapers and periodicals,Full-text","This database gives access to past and (if applicable) current issues of the following Sinological periodicals published in Taiwan (mostly from the Academia Sinica): 中央研究院歷史語言研究所集刊, 中央研究院中國文哲研究集刊, 中央研究院近代史研究所集刊, 中央研究院近代中國婦女史研究, 中央研究院口述歷史期刊, 中央研究院近代中國史研究通訊, 中央研究院臺灣人類學刊, 中央研究院臺灣史研究, 漢學研究, 思与言, 鵝湖學誌, 鵝湖月刊, 食貨月刊, 民俗曲藝. The home page is in English; you may want to change to Traditional Chinese for better results. This database was previously offered as a stand-alone resource and is now hosted as part of the Taiwan Academic Classics (台灣學術經典) platform.",8,5/14/2026 4:27pm
1016,Taiwan Electronic Periodicals Service,台彎電子期刊 (airiti library),Academic Journals and Articles (Contemporary),https://www.airitilibrary.com/,Airiti Inc.,subscription,Princeton China Studies Research Guide,"Taiwan,Medicine,Secondary sources,Newspapers and periodicals,Full-text","The TEPS (Taiwan Electronic Periodicals Service) database now included in the Airiti Digital Library offers an archive of several hundred Taiwanese periodicals in various subjects, including natural and applied sciences, medicine, the humanities, and social sciences. Full texts can be downloaded in PDF format. One can browse by title. The TEPS collection is part of the Chinese Electronic Periodical Service (CEPS) database. The majority of the journals included in the database are covered in electronic form from 2000 on-wards, but there are many journals with digital back issues going back to the mid-20th century. The database even includes some 1930s journals.",7,5/18/2026 11:16pm
1017,Wanfang xueshu huiyi,万方学术会议,Academic Journals and Articles (Contemporary),https://www.wanfangdata.com.cn/,"Wanfang Data Co., Ltd.",subscription,Princeton China Studies Research Guide,"Secondary sources,Full-text","Wanfang’s Academic conference papers database. Searches more than 2 million conference papers. Also browsable by topic and then year. Although an extra function “full text only” is available, differences between “all” and “full-text only” seem to be minimal. As with all Wanfang databases, once on the Wanfang home page, you can move from database to database via tabs. The “xue shu lun wen” tab combines several databases into one mega-search, and you can also combine searches across databases using the advanced search option.",7,5/18/2026 11:16pm
1018,Wanfang xueshu qikan,万方学术期刊,Academic Journals and Articles (Contemporary),https://www.wanfangdata.com.cn/,"Wanfang Data Co., Ltd.",subscription,Princeton China Studies Research Guide,"Full-text,Secondary sources,Newspapers and periodicals","Wanfang’s Online academic journals or Periodicals database . More than 22 million full-text searchable articles, which are also browsable by topic or journal. Covered years are fewer than the China Academic journals database (most journals do not go back further than 2001), and page numbers are only visible when viewing the article itself, not in the index. Hence, searching CNKI’s China Academic Journals should be your first choice for finding articles; yet, with exclusive online contracts on the rise in China, some journals may be only available in one database and not the other. Again, you can narrow down your results not only by using the topical and chronological facets, but also by typing within the tab-looking grey boxes on top of your results: e.g., by typing 2003 to 2008 in the starting and concluding year boxes. As with all Wanfang databases, once on the Wanfang home page, you can move from database to database via tabs. The “xue shu lun wen” tab combines several databases into one mega-search, and you can also combine searches across databases using the advanced search option.",8,5/14/2026 4:27pm
1019,Wenshi ziliao indexes,文史资料,Archival Material,http://www.wenshiziliao.com/,,subscription,Princeton China Studies Research Guide,"Historical archive,Republican era (1912–1949),Late Imperial (1368–1912),Local history,Contemporary (post-1978),Full-text,Early PRC (1949–1966)","Wenshi ziliao are collections on local history that are being published on all administrative levels in form of open-ended series. The collecting and editing of Wenshi ziliao was first suggested in April 1959 by Zhou Enlai to document the experience of modernization 60 years after the reform movement of 1898. Local 文史研究馆所 were set up and supported by the Political Consultative Conference. During the past 60+ years they have often changed from internal to open publications and back. Estimations of the amount of Wenshi ziliao issues are hovering between 80,000 to 100,000 volumes. Here table of contents indexes are available for searching on each administrative level (with some exceptions like Xinjiang), and the underlying PDFs can also be downloaded for local use. Altogether there are about 1,250 documents with about 45,800 pages of article information for about 500,000 articles. So far online access is only available to a small subset of Wenshi ziliao. Lately the 抗日战争与近代中日关系文献数据平台of the CASS 近代史研究所 made some 16,000 volumes of Wenshi ziliao freely accessible .",7,5/18/2026 11:16pm
1020,Bianjiang Lishi Dili Shujuku,邊疆歷史地理數據庫,Classical Texts,https://bianjiang.ancientbooks.cn/,Zhonghua Book Company,subscription,Princeton China Studies Research Guide,"Late Imperial (1368–1912),Republican era (1912–1949),Xinjiang,Tibet,Inner Asia,Manchuria","This database has two parts. The first part called 史地經典文庫 collects full-text historical textual material on the Chinese borderlands dating from the Ming Dynasty to the Republic in the punctuated editions by Zhonghua shuju. The second part 邊疆史料文庫 gives access to Republican monographs, periodicals, government gazettes and other documents on the history of the border regions. The original printed text is displayed side-by-side with a fully searchable digital edition of the text for comparison. Downloading is not possible. Copying (with a maximum of 200 characters at a time after signing in) is possible, but only using the pop-up copy function, not the usual browser function. To use the database you need to register a personal account. To sign in, choose 登录 on the upper left and then switch to 邮箱登录 on the following page. Please note: This database does not fully support the Firefox browser.",7,5/18/2026 11:16pm
1021,CADAL (China Academic Digital Associative Library),大学数字图书馆国际合作计划,E-books (Contemporary),https://cadal.edu.cn/,Zhejiang University,subscription,Princeton China Studies Research Guide,"Manchuria,Global China,Late Imperial (1368–1912),Republican era (1912–1949),Contemporary (post-1978),Literature,Art and Architecture,Medicine,Local history,Diaspora,Full-text","CADAL (China Academic Digital Associative Library) is a government-sponsored cooperative project of some 120+ academic libraries (2020), about half of which are from China, to create electronic resources for the use of their patrons. The venture is led by and housed in Zhejiang University, and most major Chinese academic institutions such as Peking, Qinghua, Fudan and Nanjing universities were participants from the beginning. CADAL originally grew out of a China-American Digital Academic Library venture, but only from the mid-2010s a select group of overseas libraries have received access. The major resource created by CADAL is a collection of scanned books, both in and out of copyright: 240 thousand ancient texts (including the Xuxiu siku quanshu 续修四库全书), 180 thousand republican works, 155 thousand republican periodical issues, 40 thousand newspaper issues, 800 thousand post-1949 books, 690 thousand works in Western languages, 13 thousand special collection works, 4 thousand videos, 55 thousand audiobooks and 63 thousand images. The collection is constantly increasing. The titles are not full-text searchable; but tables of contents are provided for easy navigation. Lately CADAL has added some special sections for material connected to the Manchuria Railway 满铁 13 thousand titles, modern local gazetteers 17 thousand, material on overseas Chinese 侨批 50 thousand items, and oracle bones from various institutions scanned with Reflectance Transformation Imaging (RTI) technology. (In addition to the e-books database, the navigation bar also gives access to some other resources: calligraphic works ( shufa 书法), a literary timeline ( Zhongguo wenxue biannian shi 中国文学编年史), Chinese medicine ( zhongyiyao 中医药), and Audio ( yinpinku 音频库). Note that the video choice, available only in English, brings one to the main e-books database.) Access to the books is dependent on the copyright status of the book: while some free access is available, especially to the ancient texts, access to in-copyright books is restricted to registered users at participant libraries: one borrows parts of books, which need to be returned in order to have them become available to other users. Hence, one first has to register ( zhuce 注册), and in subsequent visits to log-in ( denglu 登录). For this please select 登录/注册 from the upper right of the CADAL home page. To register then click on 快速注册. Please note that it is not necessary to add a mobile phone number 手机号 in order to register and it is also not necessary to retrieve a verification code if one does not want to connect the personal account to a Chinese mobile phone number. The registration process can be solely finished via a valid email. After registration, the system will ask for an affiliation at the first login. Activities one performs when logged-in, including borrowing books, note-taking etc., are visible to all users from search pages etc.: hence, make sure to log-out especially on shared public computers. One is not logged out automatically, even not after days. To log-out, go to one's personal account page ( registeredname's CADAL in the English, registeredname 的 CADAL in the Chinese interface), and click on tuichu 推出. This account page is available in the top navigation bar, and is also the page from where one returns books, see one's borrowing history, etc. (One can choose to set the interface to English, but only a limited number of top-level screens have been translated.) Once logged in, and directed to one's account page, one can perform a simple search in the search box. On the resulting page, one can somewhat refine one's search by limiting the result to title or author, and by selecting some rough facets of categories (such as ancient books or republican-period books—note that all categories are listed, even if not applicable), tags ( biaoqian 标签 ) or publisher. Under a cover image of each result, one can choose to see more details on the book, or decide to read it by clicking on the book. If choosing to read it, one is brought to a reader interface where one can display the table of contents, navigate forward and backward within a book, and change the display from one page to two pages at a time and vice versa. Printing (by right-clicking, one page at a time) does not work very well—it may be better to take screen shots. Depending on the copyright status of the book, one will receive a request after viewing a couple of pages to check out the remainder of the chapter ( jieyue 借阅). One receives a message that borrowing was successful (if the item was not borrowed by someone else), and can continue to read. To return the chapter to the CADAL library, navigate to the borrowing page ( jieyue in the top navigation bar), where one can see the status of one's checking in-and-out. Click, if not yet selected, on the weihuan 未还 button, and then return chapters by clicking on guihuan 归还 after each chapter one has checked out. And remember to log-out (also possible from this page.) One can look at one's notes, tags, comments, messages etc. from the navigation bar, and there may be recommendations listed based upon one's readings.",9,5/18/2026 11:27pm
1022,Chinese Periodicals of Modern Chinese Film,中国近代期刊电影专题数据库,Academic Journals and Articles (Late Qing and Republican),https://www.cnbksy.com/,Shanghai Library,subscription,Princeton China Studies Research Guide,"Republican era (1912–1949),Full-text,Newspapers and periodicals,Popular media","This database is a subsection of the Shanghai Library National Index to Chinese Newspapers & Periodicals. Other than most other parts of the National Index this subsection on film is full-text searchable. It gives access to 30 periodicals from the Republican period including titles such as 电声, 电影新闻, 电影, 电影杂志, 好莱坞, 电影话剧. Most of the content was published between 1930 and 1949.",6,5/18/2026 11:27pm
1023,Dacheng,大成老旧期刊,Academic Journals and Articles (Late Qing and Republican),https://www.dachengdata.com/,Dacheng Data,subscription,Princeton China Studies Research Guide,"Late Imperial (1368–1912),Republican era (1912–1949),Newspapers and periodicals,Full-text","A text-searchable database of ca. 7,000 Chinese periodicals published from late Qing to 1949 in all fields of knowledge: the humanities, social sciences, exact sciences, as well as popular journals. Examples include the Shidianzhai huabao, Xiandai, Shaonian Zhongguo, Dazhong shenghuo, Guocui xuebao, Qingnian Zhongguo, Minfeng. Listings per subject area are provided. Contents are regularly updated. One can search by keyword in title in simplified or traditional Chinese, which retrieves article titles; clicking on such a hit retrieves the page with the term, which however is not highlighted. One can browse by category of publication (use the pop-up menu called +fenlei tixi). Clicking on a periodical title gives the issues available of that title; clicking on the issue gives a table of content. PDFs can be downloaded. Advanced searching (by article or periodical title) is available. This database complements the Quanguo baokan suoyin database.",7,5/18/2026 11:27pm
1024,Early Chinese Periodicals Online (ECPO) (free),,Academic Journals and Articles (Late Qing and Republican),https://ecpo.cats.uni-heidelberg.de/ecpo/,University of Heidelberg,open access,Princeton China Studies Research Guide,"Late Imperial (1368–1912),Republican era (1912–1949),Gender,Newspapers and periodicals,Popular media,Full-text","Hosted at the University of Heidelberg, ECPO collects newspapers and other periodicals from the late Qing and Republican era. So far the emphasis has been on Chinese Women's Magazines in the Late Qing and Early Republican Period and Chinese Entertainment Newspapers ( Xiaobao 小報).",5,5/19/2026 3:52pm
1025,Minguo wenxian daquan,民国文献大全,E-books (Republican),https://cadal.hytung.com.cn/,Hantang Technology,subscription,Princeton China Studies Research Guide,"Republican era (1912–1949),Late Imperial (1368–1912),Full-text,Newspapers and periodicals","This database is based on the Republican era collection of CADAL (China Academic Digital Associative Library). For this database the books, journals and newspapers from CADAL have been processed with OCR (optical character recognition) which allows full-text searching. Most of the search results from books and journals can be directly opened from 民国文献大全.",7,5/18/2026 11:27pm
1026,Archives Unbound,,Archival Material,https://www.gale.com/primary-sources/archives-unbound,Gale,subscription,Princeton China Studies Research Guide,"Economy,Biography,Religion,Missionaries,Military,Colonialism,Late Imperial (1368–1912),Republican era (1912–1949),Full-text","Also known as the Declassified Documents Reference Service. These digital collections of historical material on many topics include manuscripts, printed books and periodicals, and government documents. The material comes from the U.S. National Archives, the U.K. National Archives, and many other libraries and archives. East Asian topics include: China (religion, Chinese Maritime Customs, Shanghai, international politics, economics, biographic material), Japan (religion, international politics, Japanese American internment, economics), and Korea.",8,5/18/2026 11:27pm
1027,"British Colonial Policy and Intelligence Files on Asia, 1880–1950",,Archival Material,https://brill.com/display/serial/BCPI,Brill,subscription,Princeton China Studies Research Guide,"Colonialism,Military,Late Imperial (1368–1912),Republican era (1912–1949)","This series comprises fourteen collections of historical British government documents pertaining to various countries in Asia and the Middle East on which intelligence was gathered. The original documents are part of the Oriental & India Office Collections (OIOC, now part of the Asia, Pacific, and Africa Collections), British Library, London.",7,5/18/2026 11:27pm
1028,"China, America and the Pacific",,Archival Material,https://www.cap.amdigital.co.uk/,Adam Matthew Digital,subscription,Princeton China Studies Research Guide,"Economy,Biography,Global China,Late Imperial (1368–1912),Missionaries,Full-text,Republican era (1912–1949)","An extensive range of archival material connected to the trading and cultural relationships that emerged between China, America and the Pacific region between the 18th and early 20th centuries. Manuscript sources, rare printed texts, visual images, objects and maps document this fascinating history. The resource includes a wide range of manuscript, printed and visual primary-source materials as well as other key features to support research and teaching. One can use the fully searchable interactive chronology to discover facts and world events, explore voyages to China using an interactive map, find out about different merchants and the companies they formed in the Merchant Biographies and view online exhibitions to find out about aspects of the collection. A helpful tour of the collection is available.",7,5/18/2026 11:27pm
1029,"China: Trade, Politics and Culture",,Archival Material,https://www.china.amdigital.co.uk/,Adam Matthew Digital,subscription,Princeton China Studies Research Guide,"Missionaries,Military,Art and Architecture,Economy,Late Imperial (1368–1912),Colonialism,Full-text,Republican era (1912–1949)","This database is based mainly, but not exclusively, upon the holdings of the Library of the School for Oriental and African Studies and the British Library. It consists of all kinds of English-language textual and visual sources relating to China and the West, with key documents relating to the Chinese Maritime Customs service, letters, diaries, color paintings, maps, drawings, photographs, and fully searchable missionary periodicals such as the Chinese Recorder. Important subjects treated include the Amherst and Macartney embassies, the Opium, Boxer, Russo-Japanese and Sino-Japanese wars, events such as the Taiping Rebellion, and the Rape of Nanking, and the missionary movements.",8,5/18/2026 11:27pm
1030,Chinese Big Set Table of Contents database,中国大套图书目次库,Subject Guides and Bibliographies,https://toc.cnpereading.com/,China National Publications Import and Export Group (CNPIEC),subscription,Princeton China Studies Research Guide,"Contemporary (post-1978),Secondary sources","On the Chinese mainland publishers have over the years preferred to publish large collections of primary and secondary print material. The Chinese Big Set Table of Contents database tries to address this problem. It provides searchable indexes for 2,500 large sets from 130 different publishers from mainland China. The covered book sets were published 1985–present, but the database is most comprehensive for 2015–present. The table of contents (ToC) information can be searched and the ToCs can be downloaded in PDF format.",6,5/18/2026 11:27pm
1031,Digital National Security Archive (East Asian Parts),,Archival Material,https://nsarchive.gwu.edu/digital-national-security-archive,National Security Archive (George Washington University),subscription,Princeton China Studies Research Guide,"International relations,Military,Early PRC (1949–1966),Contemporary (post-1978),Cultural Revolution (1966–1976)","The ProQuest Digital National Security Archive, produced in partnership with the National Security Archive at George Washington University, is a comprehensive collection of declassified U.S. government primary documents on U.S. foreign and military policy since 1945. The database includes over 750,000 documents organized into more than 40 topic-based collections. East Asian modules include: China: US Intelligence and China: Collection, Analysis, and Covert Action, 1945–2010; China and the United States: From Hostility to Engagement, 1960–1998. Japan: Japan and the United States—Diplomatic, Security, and Economic Relations, Parts I, II, and III (1960–2000). Korea: The United States and The Two Koreas, Parts I and II (1969–2010).",8,5/18/2026 11:27pm
1032,Diplomacy and Political Secrets (China and the Modern World 3),,Archival Material,https://www.gale.com/primary-sources/china-and-the-modern-world,Gale,subscription,Princeton China Studies Research Guide,"Xinjiang,Tibet,International relations,Colonialism,Late Imperial (1368–1912),Republican era (1912–1949),Military,Full-text,Inner Asia","Diplomacy and Political Secrets comprises over 4,000 China-related historical documents selected from the following India Office Records: the Political and Secret Department Records, the Burma Office records, and the Records of the Military Department. These documents consist of manuscripts and monographs in the form of reports, memoranda, correspondence, pamphlets and official publications, intelligence diaries, accounts of political and scientific expeditions, travel diaries, handbooks and maps, reflecting the security concerns of British India regarding the frontier regions of China bordering British India (Xinjiang, Tibet, and Yunnan.) They range from 1869 through the cooperation between China and Britain during WWII.",7,5/18/2026 11:27pm
1033,"Foreign Office Files for China, 1919-1980",,Archival Material,https://cn.archivesdirect.amdigital.co.uk/Documents/ForeignOfficeFilesforChina,Adam Matthew Digital,subscription,Princeton China Studies Research Guide,"Manchuria,Republican era (1912–1949),Early PRC (1949–1966),Cultural Revolution (1966–1976),Military,International relations,Full-text,Hong Kong","The database ""Foreign Office Files for China, 1919-1980"" contains complete digitized images of all British Foreign Office files dealing with China, Hong Kong and Taiwan during the period 1919-1980. There are six subsections: 1919-1929: Kuomintang, CCP and the Third International; 1930-1937: The Long March, civil war in China and the Manchurian Crisis; 1938-1948: Open Door, Japanese war and the seeds of Communist victory; 1949-1956: The Communist revolution; 1957-1966: The Great Leap Forward; and 1967-1980: The Cultural Revolution.",8,5/18/2026 11:27pm
1034,Grand Secretariat Archives,内閣大庫檔案,Archival Material,https://newarchive.ihp.sinica.edu.tw/,Institute of History and Philology (Academia Sinica),subscription,Princeton China Studies Research Guide,"Late Imperial (1368–1912),Full-text,Historical archive,Law and Government","This database contains full text images of hundreds of thousands of government documents from the Ming and Qing dynasties. The database may be searched by responsible official, title, matter and document number.  It is produced by the Institute of History and Philology, Academia Sinica, Taiwan. To login please click “licensed usage” 授權使用 on the entry website of the database. The contents of the previous Ming-Qing dang’an set in print is fully incorporated in this database. For some supporting material, including glossaries and Qing document samples arranged by kind, see https://newarchive.ihp.sinica.edu.tw/ .",9,5/18/2026 11:27pm
1035,History of Contemporary Chinese Political Movements,当代中国运动历史数据库,Archival Material,http://ccrd.usc.cuhk.edu.hk/,Chinese University of Hong Kong,subscription,Princeton China Studies Research Guide,"Early PRC (1949–1966),Cultural Revolution (1966–1976),Economy,Historical archive,Law and Government","Primary sources only, three contemporary Chinese political movements; first the Chinese Cultural Revolution, second the Chinese Anti-Rightists Campaign, third the Great Leap Forward and the Great Famine. There is a fully functional search-engine in both Chinese and English, with data retrievable by author, subject, title, date, keywords, and (new!) locality (the documents themselves are in Chinese, naturally.) New features further include keyword highlight and toggle between Chinese and English. The Cultural Revolution database includes primary sources mostly written during the Cultural Revolution; memoirs and interviews are not included. Sections included are CCP documents, directives, and bulletins; speeches, directives, and writings concerning the Cultural Revolution by Mao Zedong, Lin Biao, and other CCP leaders; important newspaper and magazine editorials and articles; important documents of the Red Guards and the Mass Movement; and material regarding “heterodox thoughts.” Materials are indexed in both English and Chinese, but the text is in Chinese. There is a introduction by Yu Yingshi. The Anti-Rightist database includes more than 10,000 documents (directives, bulletins, speeches, editorials, published views and their denunciations, original archives) including the so-called “rightist” articles themselves. Included are also materials related to contemporaneous campaigns, including the prior Campaign against the Hu Feng Counterrevolutionary Clique, Campaign for Eliminating Counterrevolutionaries, and Socialist Transformation of Industry and Commerce, and the subsequent Debate over Red and Expert, Double-Anti Campaign, Movement for Opening One’s Heart to the Party, and Campaign to Pull Out White Flags and Plant Red Flags. The Great Leap and the Great Famine database includes more than 7,000 documents (directives, bulletins, internal reports, officials’ speeches, and major media commentaries with detailed citations.) Of the material 50% is from internal archives at various levels, including 3,000 highly classified records and investigative reports filed during the Great Famine. Included are documents on the context of these topics, as on such policies and campaigns as the state monopoly on grain purchase and marketing, the Collectivization of Agriculture, the Campaign to Eliminate Counterrevolutionaries, the Great Debate on “Red and Expert,” the “Dual-Antis” Campaign, the Campaign to “Open One’s Heart to the Party,” and the Campaign to “Pull Out White Flags and Erect Red Flags”.",9,5/18/2026 11:27pm
1036,History Vault (East Asian parts),,Archival Material,https://historyvault.proquest.com/,ProQuest,subscription,Princeton China Studies Research Guide,"Military,Law,Economy,Biography,International relations,Historical archive,Full-text","Below are listed the modules of the ProQuest History Vault database that are related to East Asia: CIA Cold War Research Reports and Records on Communism in China and Eastern Europe, 1917-1976 This module consists of two major series of records: CIA Research Reports from 1946–1976 and records collected by Raymond Murphy on Communism in China and Eastern Europe from 1917–1958. Beginning in 1946 with reports of the CIA's predecessor, the Central Intelligence Group; The module includes reports on security, international questions, and biographical reports (including profiles of relatively unknown leaders). The Murphy Collection provides information on war recovery efforts, international aid, and the formation of countries and substantial information on the Chinese Communist Party. Confidential U.S. State Department and Diplomatic Post Special Files, Asia, 1945–1966 Contains documents State Department officials considered too sensitive or important to forward to the general Central Files. The set of State Department and Diplomatic Post records covers the U.S. occupation of Japan following World War II, development of postwar Japan, the San Francisco Peace Conference of 1951, and economic conditions in Japan; the Korean War, peace negotiations, U.S.-Korea relations, and the rebuilding of South Korea after the end of fighting in the Korean War; military and economic relations between Japan, Korea, and the U.S. in the 1950s. Confidential U.S. State Department Central Files, Asia, 1960–1969 These modules collects exclusively those U.S. State Department Central Files that have not been microfilmed by the National Archives: special reports on political and military affairs; studies and statistics on socioeconomic matters; interviews and minutes of meetings with foreign government officials; court proceedings and other legal documents; cables sent and received by U.S. diplomatic personnel; reports and translations from foreign journals and newspapers; and countless translations of high-level foreign government documents. The countries covered in this module are: China, Far East (general), Hong Kong, Indonesia, Japan, Laos, Philippine Republic, and Vietnam. Immigration: Records of the INS, 1880–1930 The files cover Asian immigration, especially Japanese and Chinese migration, to California, Hawaii, and other states. Japanese American Incarceration: Records of the War Relocation Authority, 1942–1946 The Records of the War Relocation Authority document the day-to-day running of the relocation camps from 1942–1946. The collection is organized by relocation center.",8,5/18/2026 11:27pm
1037,"Hong Kong, Britain and China 1841–1951 (China and the Modern World 4)",,Archival Material,https://www.gale.com/primary-sources/china-and-the-modern-world,Gale,subscription,Princeton China Studies Research Guide,"Hong Kong,Economy,Colonialism,Full-text,Late Imperial (1368–1912),Republican era (1912–1949),Military","A collection of documents from the British Colonial Office on colonial Hong Kong, providing detailed information on the political, military, social, economic, and external development of Hong Kong in the context of modern China, the British Empire in Asia, and the international politics of East Asia. Textual Analysis Tools allow for the identification and visualization of patterns, trends, and relationships, while the applied HTR (Handwritten Text Recognition) allows handwritten documents to be full-text searchable.",7,5/14/2026 6:34pm
1038,"Hong Kong, Britain and China 1965–1993 (China and the Modern World 5)",,Archival Material,https://www.gale.com/primary-sources/china-and-the-modern-world,Gale,subscription,Princeton China Studies Research Guide,"Hong Kong,Economy,Colonialism,Full-text,Contemporary (post-1978),Early PRC (1949–1966),Cultural Revolution (1966–1976)","Digitized primarily from the records of British Foreign and Commonwealth Office (FCO 40 and FCO 21), this collection continues where Hong Kong, Britain and China Part I, 1841–1951 left off, and documents the process of Hong Kong maneuvering, surviving, thriving, and transforming into a modern international metropolis and financial center in the wider context of the Cold War. Textual Analysis Tools allow for the identification and visualization of patterns, trends, and relationships, while the applied HTR (Handwritten Text Recognition) allows handwritten documents to be full-text searchable.",7,5/18/2026 11:27pm
1039,"Imperial China and the West (1815-1881, part I & II)",,Archival Material,https://www.gale.com/primary-sources/china-and-the-modern-world,Gale,subscription,Princeton China Studies Research Guide,"Late Imperial (1368–1912),Colonialism,International relations,Full-text,Military","Digitized in two parts from the FO 17 series of British Foreign Office Files held at the UK National Archives, Part 1 of Imperial China and the West provides General Correspondence relating to China from 1815–1905. The FO 17 series provides a vast and significant resource for researching every aspect of Anglo-Chinese relations during the nineteenth century, ranging from diplomacy and war, to trade, piracy, riots and rebellions within China, international law, treaty ports and informal empire, transnational emigration, and translation. The files provide archival sources which cover the Canton System, the Opium Wars of 1839–1842 and 1856–1860, and the presence of Britain and other foreign powers in China in the 19th century. The hand-written documents of FO 17 have been processed with Handwritten Text Recognition (HTR) technology, as well as item-level information drawn from the Foreign Office Indexes in series FO 605. A detailed review of this database and its content is available from the Journal of East Asian Libraries https://scholarsarchive.byu.edu/cgi/viewcontent.cgi?article=2809&context=jeal .",8,5/14/2026 6:34pm
1040,My China Roots,中華家脉,Archival Material,https://www.mychinaroots.com/,My China Roots,subscription,Princeton China Studies Research Guide,"Diaspora,Biography,Local history,Global China,Newspapers and periodicals,Genealogy","A resource for researching Chinese genealogy. Usable in English. Includes Chinese exclusion records, immigration case files, Identity certificates, zupus 族谱 and jiapu 家谱 (family tree books), alien case files, passenger lists, naturalization records, burial records, death records, association records and directories, financial records, military records, indices, and newspapers: Sai Gai Yat Po = Shijie Ribao = The Chinese World Newspaper 世界日報 (1909-1923) and Chinese Digest (1935-1936). The database has a focus on émigrés from Guangdong and Fujian province. Good resource for finding anglicized names.",7,5/18/2026 11:27pm
1041,Nineteenth Century Collections Online,,Archival Material,https://www.gale.com/primary-sources/nineteenth-century-collections-online,Gale,subscription,Princeton China Studies Research Guide,"Late Imperial (1368–1912),Colonialism,International relations,Missionaries,Full-text","Large digital archive of 19th-century primary source collections from major libraries and archives worldwide, published by Gale. Includes monographs, newspapers, pamphlets, manuscripts, maps, photographs, and documents in multiple languages. East Asian content is found primarily in the 'Asia and the West: Diplomacy and Cultural Exchange' collection, which covers diplomatic correspondence and reports from US and British missions to China, Japan, Korea, and other Asian nations, as well as missionary records and periodicals related to Asian culture and society.",7,5/14/2026 6:42pm
1042,Princeton Chinese Archival Handbook Collection,中国档案馆指南,Subject Guides and Bibliographies,https://dpul.princeton.edu/ealtoc/browse/chinese-archival-handbooks,Princeton University,open access,Princeton China Studies Research Guide,"Historical archive,Local history,Late Imperial (1368–1912),Republican era (1912–1949)",Geographic interface to the collection of Chinese archival handbooks 档案馆指南 at the East Asian Library of Princeton University.,8,5/19/2026 12:14pm
